MARKER-FAMILY EXEMPLAR CENSUS  (type 0x6534284A)
generated by tools/research/udriveit/run_census.py
game    : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe
plugins : C:\Users\<user>\OneDrive\Documents\SimCity 4\Plugins
files scanned (DBPF): 532
exemplars found     : 11118
exemplars parsed OK : 11118
parse failures      : 0

PROPERTY IDS DECODED BY NAME:
  0x00000010  ExemplarType
  0x00000020  ExemplarName
  0x0ABFC024  (seen 0x1C / 0x1E)
  0x27812810  OccupantSize
  0x27812820  ResourceKeyType0
  0x27812821  ResourceKeyType1
  0x27812822  ResourceKeyType2
  0x27812823  ResourceKeyType3
  0x27812824  ResourceKeyType4
  0x27812825  ResourceKeyType5
  0x4A149631  MarkerSizePair? floats, all <=24.9 (SetSize cap is 25.5)
A8FBD372   30000281   SimCity_ -              R$7_2x2
A8FBD372   30000281   CAM_Buil -              R$7_2x2
A8FBD372   30000290   SimCity_ -              R$7_2x3
A8FBD372   30000290   CAM_Buil -              R$6_2x3
A8FBD372   300002A0   SimCity_ -              R$7_3x2
A8FBD372   300002A0   CAM_Buil -              R$6_3x2
A8FBD372   300002B0   SimCity_ -              R$6_2x2
A8FBD372   300002B0   CAM_Buil -              R$6_2x2
A8FBD372   300002B1   SimCity_ -              R$6_2x2
A8FBD372   300002B1   CAM_Buil -              R$6_2x2
A8FBD372   300002C0   SimCity_ -              R$7_2x2
A8FBD372   300002C0   CAM_Buil -              R$7_2x2
A8FBD372   300002C1   SimCity_ -              R$7_2x2
A8FBD372   300002C1   CAM_Buil -              R$7_2x2
A8FBD372   300002D0   SimCity_ -              R$8_4x2
A8FBD372   300002D0   CAM_Buil -              R$9_4x2
A8FBD372   300002E0   SimCity_ -              R$8_4x2
A8FBD372   300002E0   CAM_Buil -              R$9_4x2
A8FBD372   300002F0   SimCity_ -              R$8_3x2
A8FBD372   300002F0   CAM_Buil -              R$9_3x2
A8FBD372   30000300   SimCity_ -              R$7_3x3
A8FBD372   30000300   CAM_Buil -              R$8_3x3
A8FBD372   30000301   SimCity_ -              R$7_3x3
A8FBD372   30000301   CAM_Buil -              R$8_3x3
A8FBD372   30000310   SimCity_ -              R$8_3x2
A8FBD372   30000310   CAM_Buil -              R$9_3x2
A8FBD372   30000320   SimCity_ -              R$7_3x4
A8FBD372   30000320   CAM_Buil -              R$7_3x4
A8FBD372   30000321   SimCity_ -              R$7_3x4
A8FBD372   30000321   CAM_Buil -              R$7_3x4
A8FBD372   30000322   SimCity_ -              R$7_3x4
A8FBD372   30000322   CAM_Buil -              R$7_3x4
A8FBD372   30000330   SimCity_ -              R$8_3x3
A8FBD372   30000330   CAM_Buil -              R$9_3x3
A8FBD372   30000340   SimCity_ -              R$8_3x4
A8FBD372   30000340   CAM_Buil -              R$8_3x4
A8FBD372   30000341   SimCity_ -              R$8_3x4
A8FBD372   30000341   CAM_Buil -              R$8_3x4
A8FBD372   30000350   SimCity_ -              R$8_4x3
A8FBD372   30000350   CAM_Buil -              R$8_4x3
A8FBD372   30000351   SimCity_ -              R$8_4x3
A8FBD372   30000351   CAM_Buil -              R$8_4x3
A8FBD372   30000360   SimCity_ -              R$8_4x4
A8FBD372   30000360   CAM_Buil -              R$8_4x4
A8FBD372   30000361   SimCity_ -              R$8_4x4
A8FBD372   30000361   CAM_Buil -              R$8_4x4
A8FBD372   30000362   SimCity_ -              R$8_4x4
A8FBD372   30000362   CAM_Buil -              R$8_4x4
A8FBD372   30000370   SimCity_ -              R$8_4x4
A8FBD372   30000370   CAM_Buil -              R$10_4x4
A8FBD372   30000380   SimCity_ -              R$8_4x4
A8FBD372   30000380   CAM_Buil -              R$10_4x4
A8FBD372   30000390   SimCity_ -              R$8_4x2
A8FBD372   30000390   CAM_Buil -              R$9_4x2
A8FBD372   300003A0   SimCity_ -              R$8_4x2
A8FBD372   300003A0   CAM_Buil -              R$9_4x2
A8FBD372   300003B0   SimCity_ -              R$8_4x4
A8FBD372   300003B0   CAM_Buil -              R$10_4x4
A8FBD372   300003C0   SimCity_ -              R$8_4x4
A8FBD372   300003C0   CAM_Buil -              R$10_4x4
A8FBD372   300003D0   SimCity_ -              R$$1_2x3
A8FBD372   300003D0   CAM_Buil -              R$$1_2x3
A8FBD372   300003D1   SimCity_ -              R$$1_2x3
A8FBD372   300003D1   CAM_Buil -              R$$1_2x3
A8FBD372   300003D2   SimCity_ -              R$$1_2x3
A8FBD372   300003D2   CAM_Buil -              R$$1_2x3
A8FBD372   300003E0   SimCity_ -              R$$1_3x2
A8FBD372   300003E0   CAM_Buil -              R$$1_3x2
A8FBD372   300003E1   SimCity_ -              R$$1_3x2
A8FBD372   300003E1   CAM_Buil -              R$$1_3x2
A8FBD372   300003E2   SimCity_ -              R$$1_3x2
A8FBD372   300003E2   CAM_Buil -              R$$1_3x2
A8FBD372   300003E3   SimCity_ -              R$$1_3x2
A8FBD372   300003E3   CAM_Buil -              R$$1_3x2
A8FBD372   300003F0   SimCity_ -              R$$1_2x3
A8FBD372   300003F0   CAM_Buil -              R$$1_2x3
A8FBD372   300003F1   SimCity_ -              R$$1_2x3
A8FBD372   300003F1   CAM_Buil -              R$$1_2x3
A8FBD372   30000400   SimCity_ -              R$$1_3x2
A8FBD372   30000400   CAM_Buil -              R$$1_3x2
A8FBD372   30000401   SimCity_ -              R$$1_3x2
A8FBD372   30000401   CAM_Buil -              R$$1_3x2
A8FBD372   30000402   SimCity_ -              R$$1_3x2
A8FBD372   30000402   CAM_Buil -              R$$1_3x2
A8FBD372   30000403   SimCity_ -              R$$1_3x2
A8FBD372   30000403   CAM_Buil -              R$$1_3x2
A8FBD372   30000410   SimCity_ -              R$$2_2x3
A8FBD372   30000410   CAM_Buil -              R$$2_2x3
A8FBD372   30000411   SimCity_ -              R$$2_2x3
A8FBD372   30000411   CAM_Buil -              R$$2_2x3
A8FBD372   30000420   SimCity_ -              R$$2_3x2
A8FBD372   30000420   CAM_Buil -              R$$2_3x2
A8FBD372   30000421   SimCity_ -              R$$2_3x2
A8FBD372   30000421   CAM_Buil -              R$$2_3x2
A8FBD372   30000430   SimCity_ -              R$$2_2x2
A8FBD372   30000430   CAM_Buil -              R$$2_2x2
A8FBD372   30000431   SimCity_ -              R$$2_2x2
A8FBD372   30000431   CAM_Buil -              R$$2_2x2
A8FBD372   30000432   SimCity_ -              R$$2_2x2
A8FBD372   30000432   CAM_Buil -              R$$2_2x2
A8FBD372   30000433   SimCity_ -              R$$2_2x2
A8FBD372   30000433   CAM_Buil -              R$$2_2x2
A8FBD372   30000440   SimCity_ -              R$$2_2x2
A8FBD372   30000440   CAM_Buil -              R$$2_2x2
A8FBD372   30000441   SimCity_ -              R$$2_2x2
A8FBD372   30000441   CAM_Buil -              R$$2_2x2
A8FBD372   30000442   SimCity_ -              R$$2_2x2
A8FBD372   30000442   CAM_Buil -              R$$2_2x2
A8FBD372   30000443   SimCity_ -              R$$2_2x2
A8FBD372   30000443   CAM_Buil -              R$$2_2x2
A8FBD372   30000450   SimCity_ -              R$$3_1x3
A8FBD372   30000450   CAM_Buil -              R$$3_1x3
A8FBD372   30000451   SimCity_ -              R$$3_1x3
A8FBD372   30000451   CAM_Buil -              R$$3_1x3
A8FBD372   30000452   SimCity_ -              R$$3_1x3
A8FBD372   30000452   CAM_Buil -              R$$3_1x3
A8FBD372   30000453   SimCity_ -              R$$3_1x3
A8FBD372   30000453   CAM_Buil -              R$$3_1x3
A8FBD372   30000460   SimCity_ -              R$$3_2x2
A8FBD372   30000460   CAM_Buil -              R$$3_2x2
A8FBD372   30000461   SimCity_ -              R$$3_2x2
A8FBD372   30000461   CAM_Buil -              R$$3_2x2
A8FBD372   30000462   SimCity_ -              R$$3_2x2
A8FBD372   30000462   CAM_Buil -              R$$3_2x2
A8FBD372   30000470   SimCity_ -              R$$3_1x3
A8FBD372   30000470   CAM_Buil -              R$$3_1x3
A8FBD372   30000471   SimCity_ -              R$$3_1x3
A8FBD372   30000471   CAM_Buil -              R$$3_1x3
A8FBD372   30000472   SimCity_ -              R$$3_1x3
A8FBD372   30000472   CAM_Buil -              R$$3_1x3
A8FBD372   30000473   SimCity_ -              R$$3_1x3
A8FBD372   30000473   CAM_Buil -              R$$3_1x3
A8FBD372   30000480   SimCity_ -              R$$4_1x3
A8FBD372   30000480   CAM_Buil -              R$$4_1x3
A8FBD372   30000481   SimCity_ -              R$$4_1x3
A8FBD372   30000481   CAM_Buil -              R$$4_1x3
A8FBD372   30000490   SimCity_ -              R$$4_1x2
A8FBD372   30000490   CAM_Buil -              R$$4_1x2
A8FBD372   30000491   SimCity_ -              R$$4_1x2
A8FBD372   30000491   CAM_Buil -              R$$4_1x2
A8FBD372   30000492   SimCity_ -              R$$4_1x2
A8FBD372   30000492   CAM_Buil -              R$$4_1x2
A8FBD372   30000493   SimCity_ -              R$$4_1x2
A8FBD372   30000493   CAM_Buil -              R$$4_1x2
A8FBD372   300004A0   SimCity_ -              R$$4_2x1
A8FBD372   300004A0   CAM_Buil -              R$$4_2x1
A8FBD372   300004A1   SimCity_ -              R$$4_2x1
A8FBD372   300004A1   CAM_Buil -              R$$4_2x1
A8FBD372   300004B0   SimCity_ -              R$$4_1x2
A8FBD372   300004B0   CAM_Buil -              R$$4_1x2
A8FBD372   300004B1   SimCity_ -              R$$4_1x2
A8FBD372   300004B1   CAM_Buil -              R$$4_1x2
A8FBD372   300004B2   SimCity_ -              R$$4_1x2
A8FBD372   300004B2   CAM_Buil -              R$$4_1x2
A8FBD372   300004B3   SimCity_ -              R$$4_1x2
A8FBD372   300004B3   CAM_Buil -              R$$4_1x2
A8FBD372   300004C0   SimCity_ -              R$$4_2x1
A8FBD372   300004C0   CAM_Buil -              R$$4_2x1
A8FBD372   300004C1   SimCity_ -              R$$4_2x1
A8FBD372   300004C1   CAM_Buil -              R$$4_2x1
A8FBD372   300004D0   SimCity_ -              R$$5_1x2
A8FBD372   300004D0   CAM_Buil -              R$$5_1x2
A8FBD372   300004D1   SimCity_ -              R$$5_1x2
A8FBD372   300004D1   CAM_Buil -              R$$5_1x2
A8FBD372   300004E0   SimCity_ -              R$$5_2x1
A8FBD372   300004E0   CAM_Buil -              R$$5_2x1
A8FBD372   300004E1   SimCity_ -              R$$5_2x1
A8FBD372   300004E1   CAM_Buil -              R$$5_2x1
A8FBD372   300004F0   SimCity_ -              R$$5_1x1
A8FBD372   300004F0   CAM_Buil -              R$$5_1x1
A8FBD372   300004F1   SimCity_ -              R$$5_1x1
A8FBD372   300004F1   CAM_Buil -              R$$5_1x1
A8FBD372   30000500   SimCity_ -              R$$5_1x2
A8FBD372   30000500   CAM_Buil -              R$$5_1x2
A8FBD372   30000501   SimCity_ -              R$$5_1x2
A8FBD372   30000501   CAM_Buil -              R$$5_1x2
A8FBD372   30000510   SimCity_ -              R$$5_1x2
A8FBD372   30000510   CAM_Buil -              R$$5_1x2
A8FBD372   30000511   SimCity_ -              R$$5_1x2
A8FBD372   30000511   CAM_Buil -              R$$5_1x2
A8FBD372   30000520   SimCity_ -              R$$6_1x1
A8FBD372   30000520   CAM_Buil -              R$$6_1x1
A8FBD372   30000521   SimCity_ -              R$$6_1x1
A8FBD372   30000521   CAM_Buil -              R$$6_1x1
A8FBD372   30000530   SimCity_ -              R$$5_2x3
A8FBD372   30000530   CAM_Buil -              R$$6_2x3
A8FBD372   30000531   SimCity_ -              R$$5_2x3
A8FBD372   30000531   CAM_Buil -              R$$6_2x3
A8FBD372   30000540   SimCity_ -              R$$5_3x2
A8FBD372   30000540   CAM_Buil -              R$$6_3x2
A8FBD372   30000541   SimCity_ -              R$$5_3x2
A8FBD372   30000541   CAM_Buil -              R$$6_3x2
A8FBD372   30000550   SimCity_ -              R$$6_2x3
A8FBD372   30000550   CAM_Buil -              R$$6_2x3
A8FBD372   30000551   SimCity_ -              R$$6_2x3
A8FBD372   30000551   CAM_Buil -              R$$6_2x3
A8FBD372   30000560   SimCity_ -              R$$6_3x2
A8FBD372   30000560   CAM_Buil -              R$$6_3x2
A8FBD372   30000561   SimCity_ -              R$$6_3x2
A8FBD372   30000561   CAM_Buil -              R$$6_3x2
A8FBD372   30000570   SimCity_ -              R$$6_2x3
A8FBD372   30000570   CAM_Buil -              R$$6_2x3
A8FBD372   30000571   SimCity_ -              R$$6_2x3
A8FBD372   30000571   CAM_Buil -              R$$6_2x3
A8FBD372   30000580   SimCity_ -              R$$6_3x2
A8FBD372   30000580   CAM_Buil -              R$$6_3x2
A8FBD372   30000581   SimCity_ -              R$$6_3x2
A8FBD372   30000581   CAM_Buil -              R$$6_3x2
A8FBD372   30000590   SimCity_ -              R$$7_2x2
A8FBD372   30000590   CAM_Buil -              R$$7_2x2
A8FBD372   30000591   SimCity_ -              R$$7_2x2
A8FBD372   30000591   CAM_Buil -              R$$7_2x2
A8FBD372   300005A0   SimCity_ -              R$$6_2x3
A8FBD372   300005A0   CAM_Buil -              R$$6_2x3
A8FBD372   300005B0   SimCity_ -              R$$6_3x2
A8FBD372   300005B0   CAM_Buil -              R$$6_3x2
A8FBD372   300005C0   SimCity_ -              R$$7_2x2
A8FBD372   300005C0   CAM_Buil -              R$$7_2x2
A8FBD372   300005D0   SimCity_ -              R$$7_2x2
A8FBD372   300005D0   CAM_Buil -              R$$7_2x2
A8FBD372   300005D1   SimCity_ -              R$$7_2x2
A8FBD372   300005D1   CAM_Buil -              R$$7_2x2
A8FBD372   300005E0   SimCity_ -              R$$7_2x2
A8FBD372   300005E0   CAM_Buil -              R$$7_2x2
A8FBD372   300005E1   SimCity_ -              R$$7_2x2
A8FBD372   300005E1   CAM_Buil -              R$$7_2x2
A8FBD372   300005F0   SimCity_ -              R$$7_4x3
A8FBD372   300005F0   CAM_Buil -              R$$8_4x3
A8FBD372   30000600   SimCity_ -              R$$8_4x2
A8FBD372   30000600   CAM_Buil -              R$$9_4x2
A8FBD372   30000610   SimCity_ -              R$$8_4x2
A8FBD372   30000610   CAM_Buil -              R$$9_4x2
A8FBD372   30000620   SimCity_ -              R$$7_4x4
A8FBD372   30000620   CAM_Buil -              R$$8_4x4
A8FBD372   30000630   SimCity_ -              R$$7_3x4
A8FBD372   30000630   CAM_Buil -              R$$9_3x4
A8FBD372   30000640   SimCity_ -              R$$8_4x2
A8FBD372   30000640   CAM_Buil -              R$$9_4x2
A8FBD372   30000650   SimCity_ -              R$$8_4x2
A8FBD372   30000650   CAM_Buil -              R$$9_4x2
A8FBD372   30000660   SimCity_ -              R$$8_3x2
A8FBD372   30000660   CAM_Buil -              R$$9_3x2
A8FBD372   30000670   SimCity_ -              R$$8_3x2
A8FBD372   30000670   CAM_Buil -              R$$9_3x2
A8FBD372   30000680   SimCity_ -              R$$7_3x3
A8FBD372   30000680   CAM_Buil -              R$$8_3x3
A8FBD372   30000690   SimCity_ -              R$$8_3x2
A8FBD372   30000690   CAM_Buil -              R$$9_3x2
A8FBD372   300006A0   SimCity_ -              R$$8_3x2
A8FBD372   300006A0   CAM_Buil -              R$$9_3x2
A8FBD372   300006B0   SimCity_ -              R$$7_4x4
A8FBD372   300006B0   CAM_Buil -              R$$8_4x4
A8FBD372   300006C0   SimCity_ -              R$$8_3x3
A8FBD372   300006C0   CAM_Buil -              R$$10_3x3
A8FBD372   300006D0   SimCity_ -              R$$7_3x4
A8FBD372   300006D0   CAM_Buil -              R$$9_3x4
A8FBD372   300006E0   SimCity_ -              R$$8_4x4
A8FBD372   300006E0   CAM_Buil -              R$$9_4x4
A8FBD372   300006F0   SimCity_ -              R$$8_4x4
A8FBD372   300006F0   CAM_Buil -              R$$9_4x4
A8FBD372   30000700   SimCity_ -              R$$8_3x3
A8FBD372   30000700   CAM_Buil -              R$$10_3x3
A8FBD372   30000710   SimCity_ -              R$$$1_4x6
A8FBD372   30000710   CAM_Buil -              R$$$1_4x6
A8FBD372   30000711   SimCity_ -              R$$$1_4x6
A8FBD372   30000711   CAM_Buil -              R$$$1_4x6
A8FBD372   30000720   SimCity_ -              R$$$1_4x6
A8FBD372   30000720   CAM_Buil -              R$$$1_4x6
A8FBD372   30000721   SimCity_ -              R$$$1_4x6
A8FBD372   30000721   CAM_Buil -              R$$$1_4x6
A8FBD372   30000730   SimCity_ -              R$$$1_4x5
A8FBD372   30000730   CAM_Buil -              R$$$1_4x5
A8FBD372   30000731   SimCity_ -              R$$$1_4x5
A8FBD372   30000731   CAM_Buil -              R$$$1_4x5
A8FBD372   30000740   SimCity_ -              R$$$1_4x6
A8FBD372   30000740   CAM_Buil -              R$$$1_4x6
A8FBD372   30000741   SimCity_ -              R$$$1_4x6
A8FBD372   30000741   CAM_Buil -              R$$$1_4x6
A8FBD372   30000750   SimCity_ -              R$$$1_4x5
A8FBD372   30000750   CAM_Buil -              R$$$1_4x5
A8FBD372   30000751   SimCity_ -              R$$$1_4x5
A8FBD372   30000751   CAM_Buil -              R$$$1_4x5
A8FBD372   30000760   SimCity_ -              R$$$2_4x4
A8FBD372   30000760   CAM_Buil -              R$$$2_4x4
A8FBD372   30000761   SimCity_ -              R$$$2_4x4
A8FBD372   30000761   CAM_Buil -              R$$$2_4x4
A8FBD372   30000770   SimCity_ -              R$$$1_4x5
A8FBD372   30000770   CAM_Buil -              R$$$1_4x5
A8FBD372   30000771   SimCity_ -              R$$$1_4x5
A8FBD372   30000771   CAM_Buil -              R$$$1_4x5
A8FBD372   30000780   SimCity_ -              R$$$2_4x4
A8FBD372   30000780   CAM_Buil -              R$$$2_4x4
A8FBD372   30000781   SimCity_ -              R$$$2_4x4
A8FBD372   30000781   CAM_Buil -              R$$$2_4x4
A8FBD372   30000790   SimCity_ -              R$$$2_4x4
A8FBD372   30000790   CAM_Buil -              R$$$2_4x4
A8FBD372   30000791   SimCity_ -              R$$$2_4x4
A8FBD372   30000791   CAM_Buil -              R$$$2_4x4
A8FBD372   300007A0   SimCity_ -              R$$$2_4x3
A8FBD372   300007A0   CAM_Buil -              R$$$2_4x3
A8FBD372   300007A1   SimCity_ -              R$$$2_4x3
A8FBD372   300007A1   CAM_Buil -              R$$$2_4x3
A8FBD372   300007B0   SimCity_ -              R$$$2_3x4
A8FBD372   300007B0   CAM_Buil -              R$$$2_3x4
A8FBD372   300007B1   SimCity_ -              R$$$2_3x4
A8FBD372   300007B1   CAM_Buil -              R$$$2_3x4
A8FBD372   300007C0   SimCity_ -              R$$$3_4x3
A8FBD372   300007C0   CAM_Buil -              R$$$3_4x3
A8FBD372   300007C1   SimCity_ -              R$$$3_4x3
A8FBD372   300007C1   CAM_Buil -              R$$$3_4x3
A8FBD372   300007D0   SimCity_ -              R$$$3_3x4
A8FBD372   300007D0   CAM_Buil -              R$$$3_3x4
A8FBD372   300007D1   SimCity_ -              R$$$3_3x4
A8FBD372   300007D1   CAM_Buil -              R$$$3_3x4
A8FBD372   300007E0   SimCity_ -              R$$$2_4x3
A8FBD372   300007E0   CAM_Buil -              R$$$2_4x3
A8FBD372   300007E1   SimCity_ -              R$$$2_4x3
A8FBD372   300007E1   CAM_Buil -              R$$$2_4x3
A8FBD372   300007F0   SimCity_ -              R$$$2_3x4
A8FBD372   300007F0   CAM_Buil -              R$$$2_3x4
A8FBD372   300007F1   SimCity_ -              R$$$2_3x4
A8FBD372   300007F1   CAM_Buil -              R$$$2_3x4
A8FBD372   30000800   SimCity_ -              R$$$3_3x3
A8FBD372   30000800   CAM_Buil -              R$$$3_3x3
A8FBD372   30000801   SimCity_ -              R$$$3_3x3
A8FBD372   30000801   CAM_Buil -              R$$$3_3x3
A8FBD372   30000810   SimCity_ -              R$$$3_3x3
A8FBD372   30000810   CAM_Buil -              R$$$3_3x3
A8FBD372   30000811   SimCity_ -              R$$$3_3x3
A8FBD372   30000811   CAM_Buil -              R$$$3_3x3
A8FBD372   30000820   SimCity_ -              R$$$3_3x3
A8FBD372   30000820   CAM_Buil -              R$$$3_3x3
A8FBD372   30000821   SimCity_ -              R$$$3_3x3
A8FBD372   30000821   CAM_Buil -              R$$$3_3x3
A8FBD372   30000830   SimCity_ -              R$$$4_2x3
A8FBD372   30000830   CAM_Buil -              R$$$4_2x3
A8FBD372   30000831   SimCity_ -              R$$$4_2x3
A8FBD372   30000831   CAM_Buil -              R$$$4_2x3
A8FBD372   30000840   SimCity_ -              R$$$4_3x2
A8FBD372   30000840   CAM_Buil -              R$$$4_3x2
A8FBD372   30000841   SimCity_ -              R$$$4_3x2
A8FBD372   30000841   CAM_Buil -              R$$$4_3x2
A8FBD372   30000850   SimCity_ -              R$$$4_2x3
A8FBD372   30000850   CAM_Buil -              R$$$4_2x3
A8FBD372   30000851   SimCity_ -              R$$$4_2x3
A8FBD372   30000851   CAM_Buil -              R$$$4_2x3
A8FBD372   30000860   SimCity_ -              R$$$4_3x2
A8FBD372   30000860   CAM_Buil -              R$$$4_3x2
A8FBD372   30000861   SimCity_ -              R$$$4_3x2
A8FBD372   30000861   CAM_Buil -              R$$$4_3x2
A8FBD372   30000870   SimCity_ -              R$$$4_2x3
A8FBD372   30000870   CAM_Buil -              R$$$4_2x3
A8FBD372   30000871   SimCity_ -              R$$$4_2x3
A8FBD372   30000871   CAM_Buil -              R$$$4_2x3
A8FBD372   30000880   SimCity_ -              R$$$4_3x2
A8FBD372   30000880   CAM_Buil -              R$$$4_3x2
A8FBD372   30000881   SimCity_ -              R$$$4_3x2
A8FBD372   30000881   CAM_Buil -              R$$$4_3x2
A8FBD372   30000890   SimCity_ -              R$$$5_2x2
A8FBD372   30000890   CAM_Buil -              R$$$5_2x2
A8FBD372   30000891   SimCity_ -              R$$$5_2x2
A8FBD372   30000891   CAM_Buil -              R$$$5_2x2
A8FBD372   300008A0   SimCity_ -              R$$$5_2x2
A8FBD372   300008A0   CAM_Buil -              R$$$5_2x2
A8FBD372   300008A1   SimCity_ -              R$$$5_2x2
A8FBD372   300008A1   CAM_Buil -              R$$$5_2x2
A8FBD372   300008B0   SimCity_ -              R$$$5_2x2
A8FBD372   300008B0   CAM_Buil -              R$$$5_2x2
A8FBD372   300008B1   SimCity_ -              R$$$5_2x2
A8FBD372   300008B1   CAM_Buil -              R$$$5_2x2
A8FBD372   300008C0   SimCity_ -              R$$$5_2x3
A8FBD372   300008C0   CAM_Buil -              R$$$5_2x3
A8FBD372   300008D0   SimCity_ -              R$$$5_2x3
A8FBD372   300008D0   CAM_Buil -              R$$$5_2x3
A8FBD372   300008E0   SimCity_ -              R$$$5_2x2
A8FBD372   300008E0   CAM_Buil -              R$$$5_2x2
A8FBD372   300008E1   SimCity_ -              R$$$5_2x2
A8FBD372   300008E1   CAM_Buil -              R$$$5_2x2
A8FBD372   300008F0   SimCity_ -              R$$$5_2x2
A8FBD372   300008F0   CAM_Buil -              R$$$5_2x2
A8FBD372   300008F1   SimCity_ -              R$$$5_2x2
A8FBD372   300008F1   CAM_Buil -              R$$$5_2x2
A8FBD372   30000900   SimCity_ -              R$$$6_3x3
A8FBD372   30000900   CAM_Buil -              R$$$6_3x3
A8FBD372   30000910   SimCity_ -              R$$$6_3x3
A8FBD372   30000910   CAM_Buil -              R$$$6_3x3
A8FBD372   30000920   SimCity_ -              R$$$6_3x4
A8FBD372   30000920   CAM_Buil -              R$$$6_3x4
A8FBD372   30000930   SimCity_ -              R$$$6_4x3
A8FBD372   30000930   CAM_Buil -              R$$$6_4x3
A8FBD372   30000940   SimCity_ -              R$$$6_2x3
A8FBD372   30000940   CAM_Buil -              R$$$6_2x3
A8FBD372   30000950   SimCity_ -              R$$$6_3x2
A8FBD372   30000950   CAM_Buil -              R$$$6_3x2
A8FBD372   30000960   SimCity_ -              R$$$6_4x2
A8FBD372   30000960   CAM_Buil -              R$$$6_4x2
A8FBD372   30000970   SimCity_ -              R$$$6_3x3
A8FBD372   30000970   CAM_Buil -              R$$$7_3x3
A8FBD372   30000980   SimCity_ -              R$$$6_3x2
A8FBD372   30000980   CAM_Buil -              R$$$6_3x2
A8FBD372   30000990   SimCity_ -              R$$$6_3x2
A8FBD372   30000990   CAM_Buil -              R$$$6_3x2
A8FBD372   300009A0   SimCity_ -              R$$$7_2x2
A8FBD372   300009A0   CAM_Buil -              R$$$7_2x2
A8FBD372   300009A1   SimCity_ -              R$$$7_2x2
A8FBD372   300009A1   CAM_Buil -              R$$$7_2x2
A8FBD372   300009B0   SimCity_ -              R$$$6_2x3
A8FBD372   300009B0   CAM_Buil -              R$$$6_2x3
A8FBD372   300009C0   SimCity_ -              R$$$6_3x2
A8FBD372   300009C0   CAM_Buil -              R$$$6_3x2
A8FBD372   300009D0   SimCity_ -              R$$$7_2x2
A8FBD372   300009D0   CAM_Buil -              R$$$7_2x2
A8FBD372   300009D1   SimCity_ -              R$$$7_2x2
A8FBD372   300009D1   CAM_Buil -              R$$$7_2x2
A8FBD372   300009E0   SimCity_ -              R$$$7_4x2
A8FBD372   300009E0   CAM_Buil -              R$$$7_4x2
A8FBD372   300009F0   SimCity_ -              R$$$7_4x2
A8FBD372   300009F0   CAM_Buil -              R$$$7_4x2
A8FBD372   30000A00   SimCity_ -              R$$$6_4x3
A8FBD372   30000A00   CAM_Buil -              R$$$6_4x3
A8FBD372   30000A10   SimCity_ -              R$$$7_4x3
A8FBD372   30000A10   CAM_Buil -              R$$$8_4x3
A8FBD372   30000A20   SimCity_ -              R$$$7_4x4
A8FBD372   30000A20   CAM_Buil -              R$$$8_4x4
A8FBD372   30000A30   SimCity_ -              R$$$7_4x4
A8FBD372   30000A30   CAM_Buil -              R$$$8_4x4
A8FBD372   30000A40   SimCity_ -              R$$$8_4x2
A8FBD372   30000A40   CAM_Buil -              R$$$9_4x2
A8FBD372   30000A50   SimCity_ -              R$$$8_4x2
A8FBD372   30000A50   CAM_Buil -              R$$$9_4x2
A8FBD372   30000A60   SimCity_ -              R$$$8_4x3
A8FBD372   30000A60   CAM_Buil -              R$$$9_4x3
A8FBD372   30000A70   SimCity_ -              R$$$8_4x3
A8FBD372   30000A70   CAM_Buil -              R$$$9_4x3
A8FBD372   30000A80   SimCity_ -              R$$$8_4x3
A8FBD372   30000A80   CAM_Buil -              R$$$9_4x3
A8FBD372   30000A90   SimCity_ -              R$$$8_4x3
A8FBD372   30000A90   CAM_Buil -              R$$$9_4x3
A8FBD372   30000AA0   SimCity_ -              R$$$8_4x4
A8FBD372   30000AA0   CAM_Buil -              R$$$10_4x4
A8FBD372   30000AB0   SimCity_ -              R$$$8_4x4
A8FBD372   30000AB0   CAM_Buil -              R$$$10_4x4
A8FBD372   30000AC0   SimCity_ -              R$$$7_4x3
A8FBD372   30000AC0   CAM_Buil -              R$$$8_4x3
A8FBD372   30000AD0   SimCity_ -              R$$$7_4x4
A8FBD372   30000AD0   CAM_Buil -              R$$$8_4x4
A8FBD372   30000AE0   SimCity_ -              R$$$7_4x4
A8FBD372   30000AE0   CAM_Buil -              R$$$8_4x4
A8FBD372   30000AF0   SimCity_ -              R$$$8_4x2
A8FBD372   30000AF0   CAM_Buil -              R$$$9_4x2
A8FBD372   30000B00   SimCity_ -              R$$$8_4x2
A8FBD372   30000B00   CAM_Buil -              R$$$9_4x2
A8FBD372   30000B10   SimCity_ -              R$4_1x1
A8FBD372   30000B10   CAM_Buil -              R$4_1x1
A8FBD372   30000B11   SimCity_ -              R$4_1x1
A8FBD372   30000B11   CAM_Buil -              R$4_1x1
A8FBD372   30000B20   SimCity_ -              R$3_2x1
A8FBD372   30000B20   CAM_Buil -              R$3_2x1
A8FBD372   30000B21   SimCity_ -              R$3_2x1
A8FBD372   30000B21   CAM_Buil -              R$3_2x1
A8FBD372   30000B30   SimCity_ -              R$3_1x2
A8FBD372   30000B30   CAM_Buil -              R$3_1x2
A8FBD372   30000B31   SimCity_ -              R$3_1x2
A8FBD372   30000B31   CAM_Buil -              R$3_1x2
A8FBD372   30000B32   SimCity_ -              R$3_1x2
