=== G=8a3858d8 I=031e0000  (701 bytes)  parent={00000000,00000000,00000000}
   0x00000020 ExemplarName         string   'RW46x22_CityHall_03C0_Phase1-MZ'
   0x099AFACD                      sint64   1500
   0x27812810 OccupantSize         float32  46.0,43.0,22.0
   0x27812811                      float32  0.33000001311302185
   0x27812821 ResourceKeyType1     uint32   0x5AD0E817,0xBADB57F1,0x03C00000
   0x27812832 BuildingValue?       uint8    2
   0x27812840                      uint32   15136,1500,15152,1500,18944,500,19200,500,19456,0
   0x27812841                      uint32   8208,2,8224,13,8240,1,6160,2,6176,13,6192,1
   0x2781284F                      sint32   30,18
   0x27812850                      sint32   0,0
   0x27812851                      sint32   1,1,6,0
   0x27812854                      uint32   10
   0x29244DB5                      uint8    36
   0x2A499F85                      uint32   0x9B868F68
   0x499AFA38                      uint8    16
   0x49BEDA31                      uint8    3
   0x49CAC341                      sint64   17000
   0x68EE9764                      float32  2.0,3.0,0.0,0.0
   0x6A871B82                      uint32   0x03C00000
   0x8A2602B8                      uint32   0x27ED9DA2
   0x8A2602B9                      uint32   470
   0x8A416A99 ResourceKey          uint32   0x2026960B,0x0A554AE0,0x4A5EA69C
   0xAA1DD396                      uint32   5387,5393
   0xAA1DD397                      uint32   0xEA55BB81
   0xAA60E745                      float32  -100.0,0.0,100.0,100.0
   0xAA83558F                      uint8    3
   0xC8ED2D84                      uint32   20
   0xC9B93A56                      uint32   0x6A5EC589
   0xCA416AB5                      uint32   0x2026960B,0x8A3858D8,0x03C00000
   0xEA260589                      uint32   0x6A4BD588
   0xEA2E078B                      uint32   0x4A9AE483
   0xEA3209F8                      bool     1
   0xEA54D283                      uint32   0xEA59717A
   0xEA54D284                      uint32   0
   0xEA54D285                      uint32   0xAA59670C
   0xEA54D286                      sint64   150
=== G=8a3858d8 I=03c30000  (765 bytes)  parent={00000000,00000000,00000000}
   0x00000010 ExemplarType         uint32   2
   0x00000020 ExemplarName         string   'RW16x8_CityHall_03C3_Phase0-MZ'
   0x099AFACD                      sint64   660
   0x27812810 OccupantSize         float32  16.0,6.0,8.0
   0x27812811                      float32  0.5
   0x27812821 ResourceKeyType1     uint32   0x5AD0E817,0xBADB57F1,0x01EB0000
   0x27812832 BuildingValue?       uint8    2
   0x27812840                      uint32   15136,375,15152,375,18944,125,19200,125,19456,0
   0x27812841                      uint32   8208,0,8224,1,8240,0,6160,0,6176,1,6192,0
   0x2781284F                      sint32   10,14
   0x27812850                      sint32   0,0
   0x27812851                      sint32   1,1,4,0
   0x27812854                      uint32   0
   0x29244DB5                      uint8    36
   0x2A499F85                      uint32   0x9B868F68
   0x499AFA38                      uint8    16
   0x49BEDA31                      uint8    2
   0x49CAC341                      sint64   4250
   0x68EE9764                      float32  2.0,3.0,0.0,0.0
   0x6A871B82                      uint32   0xAE4CA73C
   0x8A2602B8                      uint32   0x569AB1B2
   0x8A2602B9                      uint32   470
   0x8A416A99 ResourceKey          uint32   0x2026960B,0x0A554AE0,0x28C29E40
   0xAA1DD396                      uint32   5387,5393
   0xAA1DD397                      uint32   0xEA55BB81
   0xAA60E745                      float32  -100.0,0.0,100.0,100.0
   0xAA83558F                      uint8    0
   0xC8ED2D84                      uint32   1
   0xC9B93A56                      uint32   0x6A5EC589
   0xCA416AB5                      uint32   0x2026960B,0x8A3858D8,0x03C30000
   0xEA260589                      uint32   0xAE4CA73C
   0xEA2E078B                      uint32   0xAE4CA73C
   0xEA3209F8                      bool     1
   0xEA54D283                      uint32   0xEA59717A
   0xEA54D284                      uint32   0
   0xEA54D285                      uint32   0xAA59670C
   0xEA54D286                      sint64   60
